No,Word,Meaning
69,surface,표면
70,unit,"한 개, 단위"
71,bankrupt,파산한
72,bankruptcy,파산
73,be in a position to,~할 입장에 있다
74,celebratory,"기념하는, 축하하는"
75,converse,대화하다
76,crack,"금 가게 하다, 금, 틈"
77,gathering space,모임장소
78,have a good view,전망이 좋다
79,last-minute,"막바지의, 마지막 순간에"
80,look into,~을 조사하다
81,look out,조심하다
82,luxury goods,사치품
83,newsletter,(회사·단체 등의)회보
84,occupy,차지하다
85,quality service,고급 서비스
86,renown,명성
87,reputation,평판
88,set a record,기록을 세우다
89,side effect,부작용
90,spokesperson,대변인
91,spread the word,말을 퍼뜨리다
92,alteration,"변화, 개조"
93,anticipated(↔unanticipated),"기대하던, 대망의"
94,disguise,"가장하다, 숨기다"
95,go through,(고난·경험을) 겪다
96,incline,"기울다, 기울이다"
97,indefinitely,"불명확하게, 무기한으로"
98,innovation,"혁신, 쇄신"
99,outdated,"구식의, 진부한"
100,perspective,"시각, 관점, 원근 화법의"
101,progressive,진보적인
102,public hearing,공청회
103,pursue,"추구하다, 쫓다"
104,sensible,"분별 있는, 합리적인"
105,strategic,전략적인
106,turn over,"~을 뒤집다, 방향을 바꾸다"
107,a great deal of,"다량의, 많은"
108,advisory,자문의
109,bump into,~을 우연히 만나다
110,commemorative,기념하는
111,correlation,상호관계
112,corruption,"부정, 부패"
113,era,시대
114,exaggerate,과장하다
115,fast-growing,급성장하는
116,hinder,"막다, 방해하다"
117,inhabitant,거주자
118,inhabitation,거주
119,instinctive,본능적인
120,isolated,"고립된, 격리된"
121,landfill,쓰레기 매립지
122,market share,시장 점유율
123,meditate,숙고하다
124,merger,합병
125,on strike,파업 중인
126,outreach,봉사활동
127,oversized,너무 큰
128,overstaffed,필요이상의 직원을 둔
129,rashly,경솔하게
130,regional,지역의
131,rule out,배제하다
132,scholar,학자
133,spotless,"아주 깨끗한, 흠잡을 데 없는"
134,stand for,"~을 상징하다, ~을 대표하다"
135,strike,"동맹파업, 노동 쟁의"
136,struggle,"애쓰다, 분투하다"
