0,1,2,3,4,5,6,7,8
6,regulation,규정,62.0,plus,"~을 더한, ~을 더하여",118.0,with respect to,~에 관해서
7,exception,예외,63.0,protect,보호하다,119.0,accuse,"비난하다, 고소하다"
8,adhere,"지키다, 고수하다",64.0,seldom,"드물게, 좀처럼~않는",120.0,assess,평가하다
9,severely,"엄격하게, 심하게",65.0,theft,절도,121.0,attorney,변호사
10,refrain,"자제하다, 삼가다",66.0,try,"시도하다, 노력하다",122.0,be absent from,~에 결석하다
11,permission,"허락, 허가",67.0,witness,"목격자, 증인",123.0,be allowed to do,~하도록 허락받다
12,access,"이용 권한, 접근, 통로, ~에 접근하다, 도달하다",68.0,write,"글씨를 쓰다, 저술하다",124.0,by way of,"~의 방법으로, ~에 의해서"
13,thoroughly,"철저하게, 완전히, 대단히",69.0,against the law,법에 위반되는,125.0,distrust,"의심하다, 불신"
14,revise,"(의견 및 계획을)수정하다, 변경하다",70.0,by all means,"반드시, 무슨 일이 있어도, 물론이지",126.0,from this day onward,오늘부터
15,approach,"접근법, 처리 방법, 다가오다, 가까워지다",71.0,by mistake,실수로,127.0,have permission to do,~할 허가를 받다
16,approval,"승인, 인가",72.0,come to an end,끝나다,128.0,in a strict way(=strictly),엄격하게
17,form,"종류, 유형, 양식",73.0,company regulations,회사 규정,129.0,make clear,분명히 하다
18,immediately,"즉시, 곧",74.0,give directions,"일을 지시하다, 방향을 알려주다",130.0,ministry,(정부의)부서
19,inspection,"점검, 검사",75.0,hold up,"견디다, 떠받치다",131.0,newly established,신설된
20,arrangement,"준비, 마련, 주선",76.0,if I'm not mistaken,제 기억이 옳다면,132.0,put into effect,~을 시행하다
21,procedure,절차,77.0,in progress,진행 중인,133.0,registration confirmation,등록 확인
22,negative,"부정적인, 비판적인",78.0,keep in mind,명심하다,134.0,stand over,옆에서 지켜보다
23,mandate,"명령하다, 지시하다, 권한, 지시, 명령",79.0,legal counsel,법률 상담,135.0,warn,경고하다
24,effect,"(법률 등의)효력, 효과, 영향, 결과로서 ~을 가져오다",80.0,self-defense,"자기방어, 정당방위",136.0,without respect to,"~을 고려하지 않고, ~을 무시하고"
25,drastically,"심하게, 과감하게, 철저하게",81.0,suspect,"용의자, 의심하다",137.0,commonplace,"평범한 일, 흔한 일, 평범한, 흔한"
26,according to,~에 따라,82.0,take one's advice,~의 충고를 따르다,138.0,protective smock,보호 작업복
27,enable,(무엇을) 가능하게 하다,83.0,to one's advantage,~에게 유리하게,139.0,testimony,증언
28,standard,"기준, 표준",84.0,under control,관리하에 있는,140.0,accordance,"일치, 조화"
29,constant,"지속적인, 끊임없이 계속하는",85.0,under the supervision of,~의 감독하에,141.0,crucial,중요한
30,act,"법령, 행위, 행동,결정하다, 판결을 내리다, 행동하다",86.0,abuse,"남용, 남용하다",142.0,deviation,"일탈, 탈선"
31,compensation,"보상금, 보상",87.0,alert,"경고하다, 주의하는",143.0,effortlessly,힘들지 않게
32,ban,"금지, 금지하다",88.0,assessment,평가,144.0,in observance of,~을 기념하여
33,obligation,"의무, 책임",89.0,at all times,"항상, 언제나",145.0,inadvertently,"무심코, 우연히"
34,authorize,"~을 인가하다, 권한을 부여하다",90.0,authorization,"권한 부여, 위임",146.0,judicial,"사법의, 재판의"
35,prohibit,금지하다,91.0,concerning,~에 관하여,147.0,justification,정당한 이유
36,abolish,(제도 및 법률 등을) 폐지하다,92.0,consideration,"고려, 숙고",148.0,keenly,"날카롭게, 예민하게"
37,enforce,"(법률을) 시행하다, 집행하다",93.0,defensive,방어적인,149.0,lawsuit,"소송, 고소"
38,habit,"습관, 버릇",94.0,depiction,"묘사, 서술",150.0,mundane,"일상적인, 재미없는"
39,legislation,"법률, 법규",95.0,disobedient,"반항하는, 거역하는",151.0,off-limits,출입금지의
40,restrict,"한정하다, 제한하다",96.0,endure,"견디다, 참다",152.0,ordinance,"법령, 명령"
41,bend over,몸을 앞으로 숙이다,97.0,exemplary,"모범적인, 대표적인",153.0,pulled,"철회된, 철수한"
42,by oneself,혼자 힘으로,98.0,ignore,무시하다,154.0,reprimand,"비난하다, 질책하다"
43,date,날짜,99.0,illegal,불법의,155.0,resolution,"결의(안), 결정, 해상도"
44,get used to,~에 익숙해지다,100.0,in accordance with,"~에 따라서, ~과 일치하여",156.0,stiff,"뻣뻣한, 경직된"
45,if it's okay with you,당신만 괜찮다면,101.0,indecisive,"결말이 안 난, 우유부단한",157.0,substantiate,입증하다
46,in case of,~의 경우에는,102.0,justly,"정당하게, 당연히",158.0,trespass,(남의 토지에) 침입하다
47,in rows,"줄지어, 여러 줄로",103.0,obey,복종하다,159.0,violate,위반하다
48,item,항목,104.0,observance,준수,160.0,at the discretion of,~의 재량으로
49,legal,"법률의, 합법적인",105.0,on-site,"현장의, 현지의, 현장에서, 현지에서",161.0,bound,"의무가 있는, 꼭~하게 되어 있는"
50,let go,놓아주다,106.0,penalty,벌금,162.0,circumscribe,~을 제한하다
51,ruler,자,107.0,pointed,"(말·표현 등이) 예리한, 날카로운, 적절한",163.0,enactment,"입법, 법령"
52,stop,멈추다,108.0,precious,귀중한,164.0,impeccable,결점 없는
53,busy,바쁜,109.0,principle,"원리,원칙",165.0,infringement,침해
54,curriculum,교과 과정,110.0,punishment,"형벌, 처벌",166.0,legitimate,"합법적인, 적법한"
55,dress,"의복, 옷을 차려입다",111.0,regulate,"규제하다, 조절하다",167.0,petition,"진정서, 탄원서"
56,enough,"충분한, 필요한 만큼의 수 〮 양",112.0,restricted area,제한 구역,168.0,when it comes to,~에 관해서는
DAY3,,,,,,,,
,,,,,,,,
1,accustomed,익숙한,57.0,tabletop,테이블 윗면,113.0,editorial,"편집자의, 사설의"
2,corporation,"주식회사, 법인",58.0,telephone call,전화 통화,114.0,endless,"끝이 없는, 영원히 계속하는"
3,demanding,"요구가 많은, 힘든",59.0,trash bin,쓰레기통,115.0,furthermore,"더욱이, 게다가"
4,colleague,(직업상의) 동료,60.0,upstairs,"위층의, 위층으로, 위층에",116.0,in one's absence,~의 부재시에
5,division,부서,61.0,as if,마치 ~인 듯이,117.0,on purpose,"고의로, 일부러"
6,request,"요청, 요청하다",62.0,as well as,"~에 더하여, 게다가",118.0,overseas,"해외의, 해외로"
7,efficiently,효율적으로,63.0,be aware of,~을 알고 있다,119.0,perceive,"지각하다, 인지하다"
8,manage,"~을 경영하다, 가까스로 하다",64.0,be known as,~으로 알려져 있다,120.0,reminder,생각나게 하는 것
9,submit,제출하다,65.0,be likely to,~할 가능성이 있다,121.0,roughly,"대략, 거의"
10,directly,곧바로,66.0,detail,세부 사항,122.0,strive,분투하다
11,remind,"~에게 상기시키다, 일깨우다",67.0,offering,제공된 것,123.0,translate,"번역하다, 통역하다"
12,instruct,"지시하다, 가르치다",68.0,on one's own,"혼자서, 혼자 힘으로",124.0,boardroom,회의실
13,deadline,"마감일, 마감 시간",69.0,adjust the mirror,거울을 똑바로 맞추다,125.0,in person,"몸소, 직접"
14,sample,"견본,샘플,표본,시식하다,(견본으로 질을) 시험하다",70.0,advance reservation,사전 예약,126.0,including,~을 포함하여
15,notify,"~에게 통지하다, 알리다",71.0,arrange an appointment,약속을 잡다,127.0,on time,정각에
16,perform,"(일〮과제 〮의무 등을) 행하다, 실행하다",72.0,bulletin board,게시판,128.0,panic,"당황, 공황"
17,monitor,"화면, 모니터, 감독하다, 감시하다, 검토하다",73.0,call back,회신 전화하다,129.0,past due,"연체된, 미납된"
18,deserve,"~할 만하다, ~할 가치가 있다",74.0,confused,"혼란스러운, 당황한",130.0,put forward,앞당기다
19,assignment,"일, 임무, 과제",75.0,errand,심부름,131.0,regard A as B,A를 B로 여기다
20,entire,전체의,76.0,extend an invitation,초대하다,132.0,return one's call,~에게 답신 전화를 하다
21,release,"발표하다, 공개하다, 출시, 발매",77.0,get a permit,허가를 받다,133.0,secretarial,비서의
22,extension,"연장, 연기, (전화의) 내선",78.0,hand in,제출하다,134.0,take charge of,~을 담당하다
23,electronically,"컴퓨터 통신망으로, 컴퓨터로",79.0,have a day off,하루 쉬다,135.0,take on responsibility,책임을 지다
24,attendance,"출근, 출석",80.0,have a long day,힘든 하루를 보내다,136.0,throw one's effort into,~에 온 힘을 쏟다
25,absolutely,"절대적으로, 완전히",81.0,head up,"이끌다, 책임지다",137.0,arrange item on the self,선반에 상품을 배열하다
26,delegate,"(권한 등을) 위임하다, 대표",82.0,in a hurry,"서둘러, 급히",138.0,call in sick,전화로 병결을 알리다
27,attentively,"주의 깊게, 조심스럽게",83.0,in alphabetical order,알파벳 순으로,139.0,cover one's shift,~대신 근무하다
28,supervision,감독,84.0,in luck,운이 좋은,140.0,day-to-day operation,일상업무
29,workshop,"워크숍, 연수",85.0,leave A up to B,A를 B에게 맡기다,141.0,in line with,"~과 일치하여, ~에 따라"
30,draw,"끌다, 끌어당기다",86.0,leave A with B,A를 B에게 맡기다,142.0,officiate,식을 진행하다
31,revision,"수정, 개정",87.0,listing,목록,143.0,on hold,"보류중인, 통화대기중인"
32,reluctantly,"마지못해, 꺼려하여",88.0,make a call,전화를 걸다,144.0,set down to work,일에 착수하다
33,acquaint,"~에게 숙지시키다, 잘 알게 하다",89.0,make a correction,"정정하다, 수정하다",145.0,stay awake,깨어 있다
34,convey,(용건을) 전달하다,90.0,make a final change,최종 수정을 하다,146.0,strew,흩뿌리다
35,check,"검사, 검사하다, 조사하다, 확인하다",91.0,make a note of,~을 적어두다,147.0,take the place of,~을 대신하다
36,headquarters,본부,92.0,make an impression,"인상을 주다, 감동시키다",148.0,take turns,교대로 하다
37,file,"서류, (서류를) 정리하다, 철하다, 정식으로 제기하다",93.0,move ahead with,~을 순조롭게 진행시키다,149.0,behind schedule,일정이 늦은
38,oversee,감독하다,94.0,on a business trip,출장 중인,150.0,condense,"(표현을) 간추리다, 요약하다"
39,involved,"관여하는, 관계된, 연루된",95.0,on a weekly basis,주 단위로,151.0,follow up on,~에 대해 후속조치를 하다
40,concentrate,"집중하다, 집중시키다",96.0,on business,업무자,152.0,in writing,서면으로
41,a sheet of,~한 장,97.0,on duty,근무 중인,153.0,popularize,대중화하다
42,business card,명함,98.0,pick up the phone,전화를 받다,154.0,productively,생산적으로
43,cartridge,(프린트 등의) 잉크 카트리지,99.0,scrub,문질러 씻다,155.0,sincerity,"성실, 정직"
44,daily,"매일의, 날마다, 매일",100.0,seal,"인장, 봉합, 밀봉하다",156.0,utilization,"이용, 활용"
45,edit,"편집하다, 수정하다",101.0,speak into the microphone,마이크에 대고 말하다,157.0,administrative,"관리의, 행정상의"
46,hand,"손, 건네주다",102.0,speak on the phone,통화하다,158.0,be affiliated with,~과 제휴하고 있다
47,in order to do,~하기 위해서,103.0,stand in a line,줄을 서 있다,159.0,conglomerate,거대복합기업
48,laptop,휴대용 컴퓨터,104.0,take a message,메시지를 남겨주다,160.0,default,"태만, 불이행"
49,name tag,"명찰, 명패",105.0,take apart,"분해하다, 해체하다",161.0,impending,"임박한, 절박한"
50,on vacation,휴가 중인,106.0,utility provider,공공 설비 공급자,162.0,proponent,"지지자, 옹호자"
51,paper jam,(복사기에서의) 종이 걸림,107.0,acquired,획득한,163.0,proprietor,(상점·토지 등의) 소유자
52,paperwork,문서 작업,108.0,adapt,적응하다,164.0,site inspection,현지 시찰
53,partition,"칸막이, 분할",109.0,administer,관리하다,165.0,subordinate,"부하직원, 하급자"
54,rush hour,(출퇴근 시의)교통 혼잡 시간,110.0,clerical,"사무원의, 서기의",166.0,subsidiary,자회사
55,section,"부분, 구역",111.0,conclusive,"결정적인, 단호한",167.0,take initiative,"솔선해서 하다, 주도권을 잡다"
56,sheet ,"시트, 종이",112.0,delete,삭제하다,168.0,telecommute,재택근무하다
DAY4,,,,,,,,
,,,,,,,,
1,lax,"(행동 등이)느슨한, 규율에 못 미치는",57.0,online,"인터넷에 접속된, 온라인으로",113.0,in light of,"~을 고려하여,~에 비추어"
2,procrastinate,"미루다, 꾸물거리다",58.0,photocopier,복사기,114.0,instrument,"도구, 기계, 악기"
3,combined,"결합된, 합동의",59.0,photocopy,"복사, 복사하다",115.0,popularly,일반적으로
4,accomplish,성취하다,60.0,print out,(프린터로)출력하다,116.0,regarding,~에 관하여
5,voluntarily,자발적으로,61.0,right away,"즉시, 당장",117.0,routinely,"일상적으로, 정기적으로"
6,undertake,(일을) 떠맡다,62.0,spell,"철자를 쓰다, 철자를 말하다",118.0,standing,"고정적인, 상설의"
7,assume,"(증거는 없으나)사실이라고 생각하다,
(책임〮역할을) 맡다",63.0,wrap,"싸다, 감싸다",119.0,supplementary,"보충의, 추가의"
8,occasionally,"가끔, 때때로",64.0,fold,접다,120.0,work overtime,초과 근무를 하다
9,employee,"직원, 고용인",65.0,least,"가장 작은, 가장 적은",121.0,workplace,작업장
10,assist,"돕다, 조력하다",66.0,paper,서류,122.0,acting,"대리의, 직무대행의, 연기"
11,satisfied,"만족하는, 만족스러워하는",67.0,planning,"계획, 입안",123.0,be full of,~으로 가득하다
12,manner,"방식, 태도",68.0,post,"붙이다, 공고하다",124.0,convert A to B,A를 B로 바꾸다
13,responsible,"책임이 있는, 책임져야 할",69.0,press the button,버튼을 누르다,125.0,count on,"~을 믿다, ~에 의지하다"
14,conduct,"(업무의) 수행, (업무 등을)수행하다",70.0,server,"서빙하는 사람, (컴퓨터의)서버",126.0,fill with,~으로 가득차다
15,adjust,적응하다,71.0,store opening,"개점, 개장",127.0,get along with,~와 사이좋게 지내다
